"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"22.09.2021","1.407,46","1.393,25","1.407,46","1.385,48","1,50B","1,58%"
"21.09.2021","1.385,61","1.400,84","1.403,76","1.383,35","1,70B","-0,45%"
"20.09.2021","1.391,91","1.407,67","1.407,67","1.386,33","1,74B","-1,94%"
"17.09.2021","1.419,43","1.424,04","1.427,07","1.412,23","1,54B","0,10%"
"16.09.2021","1.418,03","1.423,95","1.434,74","1.412,78","1,54B","-0,42%"
"15.09.2021","1.423,97","1.433,86","1.440,90","1.420,38","1,61B","-0,73%"
"14.09.2021","1.434,43","1.440,67","1.443,50","1.428,96","1,74B","-0,27%"
"13.09.2021","1.438,28","1.439,75","1.447,96","1.433,75","1,60B","-0,03%"
"10.09.2021","1.438,72","1.455,46","1.457,10","1.437,62","1,51B","-0,96%"
"09.09.2021","1.452,67","1.430,98","1.452,67","1.427,77","1,69B","1,31%"
"08.09.2021","1.433,85","1.454,83","1.457,27","1.432,54","1,95B","-1,44%"
"07.09.2021","1.454,74","1.474,21","1.476,33","1.454,74","1,85B","-1,35%"
"06.09.2021","1.474,72","1.469,75","1.478,73","1.469,75","1,70B","0,41%"
"03.09.2021","1.468,67","1.480,35","1.482,11","1.464,80","1,77B","-0,71%"
"02.09.2021","1.479,12","1.474,85","1.484,95","1.472,05","1,53B","0,34%"
"01.09.2021","1.474,13","1.475,62","1.478,96","1.468,42","1,66B","0,14%"
"31.08.2021","1.472,07","1.467,18","1.474,47","1.463,01","1,89B","0,95%"
"27.08.2021","1.458,23","1.450,87","1.458,23","1.444,11","1,59B","0,67%"
"26.08.2021","1.448,52","1.456,00","1.463,79","1.445,17","1,71B","-0,33%"
"25.08.2021","1.453,30","1.465,28","1.471,43","1.451,92","1,86B","-0,86%"
"24.08.2021","1.465,89","1.465,18","1.472,46","1.463,91","1,66B","0,45%"
"23.08.2021","1.459,33","1.454,91","1.463,07","1.453,68","1,72B","1,02%"
"20.08.2021","1.444,63","1.439,62","1.449,27","1.432,40","1,63B","0,33%"
"19.08.2021","1.439,86","1.441,38","1.445,74","1.433,85","1,74B","-0,67%"
"18.08.2021","1.449,59","1.465,81","1.467,16","1.448,48","2,13B","-0,83%"
"17.08.2021","1.461,69","1.454,14","1.461,69","1.449,58","1,88B","0,44%"
"16.08.2021","1.455,25","1.451,33","1.461,96","1.451,33","2,05B","0,53%"
"13.08.2021","1.447,64","1.444,82","1.449,25","1.440,09","1,39B","0,22%"
"12.08.2021","1.444,46","1.419,69","1.447,63","1.419,69","2,03B","2,38%"
"11.08.2021","1.410,87","1.438,92","1.439,48","1.409,81","2,14B","-1,85%"
"10.08.2021","1.437,46","1.429,51","1.441,81","1.426,47","1,93B","0,34%"
"09.08.2021","1.432,61","1.436,85","1.443,29","1.431,75","1,85B","-0,15%"
"06.08.2021","1.434,76","1.433,60","1.440,53","1.425,06","1,87B","0,21%"
"05.08.2021","1.431,78","1.409,05","1.431,78","1.407,56","2,07B","1,27%"
"04.08.2021","1.413,80","1.411,90","1.422,34","1.411,90","1,99B","0,35%"
"03.08.2021","1.408,81","1.402,26","1.409,36","1.394,27","2,33B","0,65%"
"02.08.2021","1.399,65","1.397,98","1.405,63","1.394,66","2,22B","0,48%"
"30.07.2021","1.392,91","1.383,25","1.392,91","1.380,02","1,84B","0,09%"
"29.07.2021","1.391,64","1.370,52","1.393,37","1.370,52","1,63B","2,27%"
"28.07.2021","1.360,75","1.358,79","1.367,63","1.355,23","1,41B","0,09%"
"27.07.2021","1.359,55","1.348,08","1.360,50","1.341,93","1,49B","0,77%"
"26.07.2021","1.349,11","1.355,54","1.362,57","1.345,52","1,48B","-0,18%"
"19.07.2021","1.351,59","1.357,93","1.357,93","1.348,39","498,07M","-0,86%"
"16.07.2021","1.363,28","1.370,32","1.373,63","1.356,95","999,35M","-0,29%"
"14.07.2021","1.367,25","1.349,22","1.368,98","1.349,22","1,15B","1,52%"
"13.07.2021","1.346,84","1.358,27","1.360,14","1.341,52","1,38B","-0,75%"
"12.07.2021","1.356,96","1.378,63","1.382,45","1.355,23","1,64B","-1,55%"
"09.07.2021","1.378,28","1.374,44","1.381,74","1.371,53","1,46B","0,39%"
"08.07.2021","1.372,98","1.387,74","1.390,89","1.372,54","1,55B","-1,27%"
"07.07.2021","1.390,58","1.384,57","1.392,84","1.383,97","1,55B","0,58%"
"06.07.2021","1.382,58","1.394,72","1.399,90","1.382,58","1,79B","-0,72%"
"05.07.2021","1.392,64","1.375,97","1.392,64","1.375,72","1,34B","1,16%"
"02.07.2021","1.376,67","1.376,88","1.379,79","1.367,68","1,31B","0,28%"
"01.07.2021","1.372,78","1.358,20","1.372,78","1.358,20","1,35B","1,21%"
"30.06.2021","1.356,34","1.374,94","1.376,71","1.352,23","1,85B","-1,12%"
