"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"14.09.2022","74,300","71,100","74,300","69,400","83,17M","4,50%"
"13.09.2022","71,100","75,600","78,600","71,100","140,87M","-5,14%"
"12.09.2022","74,950","73,900","75,550","73,150","95,09M","2,11%"
"09.09.2022","73,400","73,500","75,000","72,250","89,19M","0,55%"
"08.09.2022","73,000","75,900","76,050","72,200","126,69M","-2,28%"
"07.09.2022","74,700","73,950","76,100","73,150","114,68M","1,43%"
"06.09.2022","73,650","75,700","75,750","72,600","84,32M","-2,00%"
"05.09.2022","75,150","73,100","76,250","72,400","134,48M","4,67%"
"02.09.2022","71,800","71,600","72,450","71,050","67,26M","0,98%"
"01.09.2022","71,100","73,100","73,100","70,500","96,25M","-2,74%"
"31.08.2022","73,100","71,000","73,400","70,700","105,94M","3,76%"
"29.08.2022","70,450","69,400","70,850","68,500","86,91M","1,08%"
"26.08.2022","69,700","70,900","71,150","67,400","93,64M","-0,85%"
"25.08.2022","70,300","69,300","71,000","68,800","100,89M","2,40%"
"24.08.2022","68,650","68,200","71,700","68,100","158,32M","1,25%"
"23.08.2022","67,800","67,800","69,050","67,000","77,83M","0,07%"
"22.08.2022","67,750","68,500","69,350","67,500","76,27M","-1,09%"
"19.08.2022","68,500","69,550","70,200","68,150","78,85M","-1,65%"
"18.08.2022","69,650","68,800","70,050","66,800","99,35M","1,38%"
"17.08.2022","68,700","68,000","69,100","66,000","140,91M","1,25%"
"16.08.2022","67,850","63,700","68,050","61,700","144,21M","6,68%"
"15.08.2022","63,600","62,600","63,650","62,100","84,08M","1,92%"
"12.08.2022","62,400","61,850","63,350","61,250","101,33M","1,63%"
"11.08.2022","61,400","61,900","62,450","60,100","136,87M","2,08%"
"10.08.2022","60,150","58,800","60,350","58,600","92,60M","2,65%"
"09.08.2022","58,600","58,750","59,650","57,900","102,08M","-0,26%"
"08.08.2022","58,750","58,400","59,000","57,600","87,93M","0,95%"
"05.08.2022","58,200","55,650","58,400","55,200","99,65M","5,24%"
"04.08.2022","55,300","55,700","56,350","55,100","108,65M","0,55%"
"03.08.2022","55,000","52,950","55,000","52,800","133,03M","5,06%"
"02.08.2022","52,350","51,800","53,200","51,650","137,22M","1,65%"
"01.08.2022","51,500","50,750","51,600","50,650","71,66M","2,18%"
"29.07.2022","50,400","49,800","50,500","49,520","62,81M","1,41%"
"28.07.2022","49,700","50,250","50,750","49,460","68,12M","0,00%"
"27.07.2022","49,700","49,260","50,100","49,160","75,81M","1,43%"
"26.07.2022","49,000","49,740","50,300","48,860","83,09M","-1,09%"
"25.07.2022","49,540","50,050","50,450","49,440","80,67M","-1,02%"
"22.07.2022","50,050","51,750","52,000","49,200","72,54M","-3,00%"
"21.07.2022","51,600","51,400","52,100","51,050","86,22M","0,49%"
"20.07.2022","51,350","51,250","51,750","50,250","89,48M","0,49%"
"19.07.2022","51,100","49,760","51,300","49,580","92,87M","2,24%"
"18.07.2022","49,980","49,000","49,980","48,380","90,00M","4,26%"
"14.07.2022","47,940","49,120","49,600","47,700","124,09M","-2,56%"
"13.07.2022","49,200","50,300","51,000","48,520","71,59M","-0,69%"
"08.07.2022","49,540","49,060","49,640","48,920","27,65M","0,69%"
"07.07.2022","49,200","48,520","49,360","48,140","78,81M","1,61%"
"06.07.2022","48,420","47,340","48,940","47,100","120,91M","3,02%"
"05.07.2022","47,000","47,800","48,160","46,500","94,26M","-1,43%"
"04.07.2022","47,680","49,680","49,800","47,620","61,89M","-3,29%"
"01.07.2022","49,300","47,220","49,460","46,820","113,17M","5,34%"
"30.06.2022","46,800","45,940","47,240","45,560","113,32M","1,34%"
"29.06.2022","46,180","48,060","48,460","46,180","106,18M","-3,87%"
"28.06.2022","48,040","49,860","49,980","48,040","123,08M","-3,07%"
"27.06.2022","49,560","49,100","50,500","49,080","103,72M","-1,37%"
"24.06.2022","50,250","51,000","51,450","48,960","119,02M","-0,59%"
"23.06.2022","50,550","52,050","52,350","50,550","64,74M","-2,88%"
"22.06.2022","52,050","51,550","52,900","51,250","100,98M","0,29%"
"21.06.2022","51,900","50,950","52,350","50,250","88,24M","2,06%"
"20.06.2022","50,850","49,140","51,000","48,720","149,38M","5,54%"
"17.06.2022","48,180","47,480","48,180","47,160","94,26M","1,77%"
"16.06.2022","47,340","48,400","48,760","46,900","109,61M","-2,27%"
"15.06.2022","48,440","46,980","48,960","46,660","123,23M","3,37%"
"14.06.2022","46,860","47,300","47,800","46,600","97,53M","-0,30%"
"13.06.2022","47,000","46,500","47,700","46,220","122,25M","0,64%"
"10.06.2022","46,700","47,900","48,660","46,700","127,38M","-3,39%"
"09.06.2022","48,340","46,740","48,400","45,520","187,54M","3,47%"
"08.06.2022","46,720","50,100","50,350","46,280","139,61M","-3,59%"
"07.06.2022","48,460","48,040","49,200","47,540","138,21M","1,25%"
"06.06.2022","47,860","48,180","48,800","47,420","105,29M","-0,25%"
"03.06.2022","47,980","49,880","49,880","47,920","83,29M","-3,27%"
"02.06.2022","49,600","49,480","50,350","49,140","83,60M","0,69%"
"01.06.2022","49,260","49,760","51,100","49,260","81,12M","-1,28%"
"31.05.2022","49,900","50,700","51,000","48,780","187,99M","0,77%"
"30.05.2022","49,520","45,780","49,520","45,720","122,23M","10,00%"
"27.05.2022","45,020","44,460","45,360","44,240","109,46M","1,26%"
"26.05.2022","44,460","42,680","44,560","42,580","139,73M","4,22%"
"25.05.2022","42,660","42,300","42,680","41,680","81,02M","1,19%"
"24.05.2022","42,160","43,100","43,200","42,100","73,43M","-1,86%"
"23.05.2022","42,960","43,060","43,200","42,600","83,69M","0,23%"
"20.05.2022","42,860","42,280","43,040","42,260","65,50M","1,08%"
"18.05.2022","42,400","42,080","42,600","41,480","116,55M","0,76%"
"17.05.2022","42,080","42,980","43,080","41,960","95,00M","-1,50%"
"16.05.2022","42,720","42,480","43,300","42,300","114,67M","0,56%"
"13.05.2022","42,480","42,760","42,820","41,860","91,22M","1,48%"
"12.05.2022","41,860","41,740","42,100","40,480","133,99M","-0,81%"
"11.05.2022","42,200","42,300","42,820","41,580","85,46M","0,00%"
"10.05.2022","42,200","42,740","42,880","42,140","65,90M","-0,24%"
"09.05.2022","42,300","42,400","43,200","42,240","83,54M","-0,19%"
"06.05.2022","42,380","42,460","42,780","41,860","82,86M","-0,70%"
"05.05.2022","42,680","41,980","42,820","41,820","78,07M","3,44%"
"29.04.2022","41,260","40,780","41,620","40,300","133,33M","1,88%"
"28.04.2022","40,500","41,500","41,780","40,380","163,15M","0,00%"
"27.04.2022","40,500","39,360","40,520","38,440","148,55M","3,58%"
"26.04.2022","39,100","40,020","41,240","38,640","179,03M","-1,26%"
"25.04.2022","39,600","39,700","40,060","38,860","125,19M","-0,35%"
"22.04.2022","39,740","40,020","41,440","39,280","189,18M","-1,10%"
"21.04.2022","40,180","38,880","40,240","38,620","124,59M","3,40%"
"20.04.2022","38,860","38,820","39,580","38,560","105,40M","0,26%"
"19.04.2022","38,760","37,820","38,760","37,480","126,21M","2,98%"
"18.04.2022","37,640","37,980","38,060","37,500","63,83M","-0,26%"
"15.04.2022","37,740","37,360","37,960","37,240","64,16M","1,02%"
"14.04.2022","37,360","37,700","38,140","36,820","134,08M","1,03%"
"13.04.2022","36,980","37,500","37,540","36,280","114,09M","-0,70%"
"12.04.2022","37,240","36,260","37,500","36,120","158,50M","2,99%"
"11.04.2022","36,160","35,360","36,960","35,140","166,14M","2,38%"
"08.04.2022","35,320","35,800","35,840","34,960","96,53M","-0,84%"
"07.04.2022","35,620","34,880","35,640","34,380","114,96M","2,89%"
"06.04.2022","34,620","35,000","35,080","34,260","133,06M","0,35%"
"05.04.2022","34,500","33,760","35,260","33,600","178,29M","3,11%"
"04.04.2022","33,460","32,880","33,480","32,740","99,34M","2,07%"
"01.04.2022","32,780","32,480","33,220","32,360","100,11M","1,61%"
"31.03.2022","32,260","32,340","32,880","32,000","144,60M","0,25%"
"30.03.2022","32,180","31,620","32,260","31,180","167,45M","1,71%"
"29.03.2022","31,640","29,380","31,800","29,260","233,34M","8,88%"
"28.03.2022","29,060","28,460","29,240","28,460","141,68M","3,20%"
"25.03.2022","28,160","28,300","28,400","27,980","59,12M","0,14%"
"24.03.2022","28,120","28,220","28,500","27,920","78,15M","0,07%"
"23.03.2022","28,100","28,640","28,740","28,100","84,45M","-1,47%"
"22.03.2022","28,520","27,920","28,640","27,880","134,64M","2,15%"
"21.03.2022","27,920","27,900","28,100","27,760","76,65M","0,72%"
"18.03.2022","27,720","27,880","28,320","27,640","103,20M","-0,50%"
"17.03.2022","27,860","28,000","28,120","27,740","92,33M","0,58%"
"16.03.2022","27,700","27,840","28,260","27,580","145,13M","0,14%"
"15.03.2022","27,660","26,680","27,960","26,340","188,09M","3,91%"
"14.03.2022","26,620","26,600","26,920","26,480","111,05M","0,76%"
"11.03.2022","26,420","25,720","26,940","25,620","255,07M","2,64%"
"10.03.2022","25,740","26,540","26,800","25,680","139,76M","-1,53%"
"09.03.2022","26,140","25,900","26,480","25,800","215,51M","3,32%"
"08.03.2022","25,300","25,520","26,280","25,280","188,53M","-2,32%"
"07.03.2022","25,900","24,900","26,080","24,500","153,50M","2,37%"
"04.03.2022","25,300","25,660","25,880","25,160","80,70M","-2,47%"
"03.03.2022","25,940","26,260","26,500","25,760","135,27M","-0,15%"
"02.03.2022","25,980","25,260","26,200","25,000","193,45M","2,85%"
"01.03.2022","25,260","26,420","26,680","24,700","183,98M","-1,41%"
"28.02.2022","25,620","26,440","27,140","25,440","179,22M","-6,15%"
"25.02.2022","27,300","25,160","27,540","23,920","255,28M","7,99%"
"24.02.2022","25,280","25,300","25,900","25,280","58,64M","-9,97%"
"23.02.2022","28,080","29,080","29,180","28,080","108,54M","-2,77%"
"22.02.2022","28,880","28,580","29,180","28,280","140,23M","-1,90%"
"21.02.2022","29,440","29,900","30,040","28,920","177,08M","0,14%"
"18.02.2022","29,400","29,240","29,600","28,640","133,79M","2,30%"
"17.02.2022","28,740","29,700","30,440","28,620","232,34M","-2,91%"
"16.02.2022","29,600","30,080","30,220","29,520","133,32M","-1,20%"
"15.02.2022","29,960","28,740","30,020","28,540","226,72M","4,76%"
"14.02.2022","28,600","28,960","29,440","28,120","221,30M","-3,44%"
"11.02.2022","29,620","29,580","30,480","28,300","269,66M","-0,60%"
"10.02.2022","29,800","29,900","30,020","29,380","119,10M","-0,13%"
"09.02.2022","29,840","28,980","30,020","28,800","157,89M","3,68%"
"08.02.2022","28,780","28,240","29,060","27,920","154,13M","1,84%"
"07.02.2022","28,260","26,700","28,260","26,180","149,07M","6,00%"
"04.02.2022","26,660","27,180","27,320","26,600","92,54M","-1,33%"
"03.02.2022","27,020","27,780","28,380","26,880","107,73M","-2,81%"
"02.02.2022","27,800","28,420","28,720","27,660","83,82M","-1,84%"
"01.02.2022","28,320","29,040","29,200","28,180","77,84M","-1,39%"
"31.01.2022","28,720","28,720","29,060","28,240","109,83M","1,99%"
"28.01.2022","28,160","28,760","29,440","28,000","152,19M","-1,68%"
"27.01.2022","28,640","26,860","28,780","26,720","208,31M","5,22%"
"26.01.2022","27,220","26,200","27,900","26,200","152,71M","4,21%"
"25.01.2022","26,120","26,420","26,620","25,280","152,38M","0,38%"
"24.01.2022","26,020","27,140","28,160","25,860","205,64M","-5,38%"
"21.01.2022","27,500","28,200","28,340","26,900","114,61M","-2,14%"
"20.01.2022","28,100","27,960","28,660","27,320","168,39M","2,55%"
"19.01.2022","27,400","26,500","27,620","26,140","162,00M","1,93%"
"18.01.2022","26,880","28,280","28,560","26,880","113,98M","-4,95%"
"17.01.2022","28,280","28,440","28,720","28,120","97,17M","0,21%"
"14.01.2022","28,220","28,800","29,300","27,880","147,01M","-1,95%"
"13.01.2022","28,780","26,800","28,940","26,780","176,33M","7,07%"
"12.01.2022","26,880","27,380","27,420","26,780","104,75M","-0,07%"
"11.01.2022","26,900","27,300","27,680","26,220","177,25M","0,75%"
"10.01.2022","26,700","25,380","27,380","25,020","166,19M","7,06%"
"07.01.2022","24,940","25,240","25,580","24,020","117,64M","0,32%"
"06.01.2022","24,860","23,620","25,360","23,620","145,56M","4,02%"
"05.01.2022","23,900","22,100","24,120","22,100","124,79M","4,82%"
"04.01.2022","22,800","21,900","23,420","21,760","139,70M","4,40%"
"03.01.2022","21,840","20,180","21,880","19,830","95,39M","9,09%"
