,şimdi,açılış,fark,avg_polar,tweet_count
2021-07-09,1378.28,1374.44,0.39,0.43047337278106507,676
2021-07-08,1372.98,1387.74,-1.27,0.43688254665203075,911
2021-07-07,1390.58,1384.57,0.58,0.375968992248062,774
2021-07-06,1382.58,1394.72,-0.72,0.42325056433408575,886
2021-07-05,1392.64,1375.97,1.16,0.4835742444152431,761
2021-07-02,1376.67,1376.88,0.28,0.4592198581560284,564
2021-07-01,1372.78,1358.2,1.21,0.4803030303030303,660
2021-06-30,1356.34,1374.94,-1.12,0.46344086021505376,930
2021-06-29,1371.67,1371.96,-0.12,0.4501440922190202,1735
2021-06-28,1373.25,1395.16,-1.34,0.45082612116443743,1271
2021-06-25,1391.86,1413.99,-1.34,0.4083457526080477,671
2021-06-24,1410.79,1405.26,0.6,0.49522292993630573,628
2021-06-23,1402.35,1415.44,-0.53,0.4496124031007752,774
2021-06-22,1409.85,1402.88,0.81,0.46866485013623976,734
2021-06-21,1398.52,1388.2,0.54,0.495114006514658,921
2021-06-18,1391.06,1417.95,-1.63,0.40976236351958895,1557
2021-06-17,1414.15,1423.0,-1.2,0.4311050477489768,733
2021-06-16,1431.31,1441.36,-0.78,0.48343373493975905,664
2021-06-15,1442.56,1451.06,-0.8,0.5127840909090909,704
2021-06-14,1454.25,1466.57,-0.45,0.5378670788253478,647
2021-06-11,1460.86,1461.22,0.29,0.47959183673469385,490
2021-06-10,1456.68,1453.24,0.52,0.5161787365177196,649
2021-06-09,1449.17,1449.85,0.11,0.5646017699115045,565
2021-06-08,1447.59,1447.49,0.04,0.5625965996908809,647
2021-06-07,1447.08,1433.96,0.99,0.5254491017964071,668
2021-06-04,1432.93,1428.91,0.34,0.5087378640776699,515
2021-06-03,1428.13,1434.72,-0.18,0.5255102040816326,784
2021-06-02,1430.73,1420.4,-0.09,0.49701492537313435,670
2021-06-01,1432.04,1424.47,0.81,0.5779569892473119,744
2021-05-31,1420.49,1423.09,-0.11,0.5426917510853835,691
2021-05-28,1422.06,1413.12,0.5,0.4647058823529412,680
2021-05-27,1415.03,1426.55,-0.84,0.5089163237311386,729
2021-05-26,1427.06,1413.12,1.92,0.49159663865546216,952
2021-05-25,1400.22,1457.48,-3.58,0.4176939811457578,1379
2021-05-24,1452.18,1453.69,0.02,0.48847926267281105,651
2021-05-21,1451.84,1456.44,0.14,0.5151515151515151,561
2021-05-20,1449.82,1451.87,-0.67,0.5281803542673108,621
2021-05-18,1459.57,1461.15,0.37,0.5674676524953789,541
2021-05-17,1454.25,1446.96,0.9,0.5451559934318555,609
2021-05-12,1441.33,1441.41,-0.25,0.5848375451263538,554
2021-05-11,1444.87,1447.96,-1.1,0.5139593908629442,788
2021-05-10,1460.9,1448.99,1.36,0.5467625899280576,834
2021-05-07,1441.33,1432.25,0.95,0.5478142076502732,732
2021-05-06,1427.73,1422.56,0.54,0.5546875,768
2021-05-05,1420.0,1419.58,0.26,0.54,700
2021-05-04,1416.25,1423.21,-0.34,0.5208034433285509,697
2021-05-03,1421.15,1400.15,1.67,0.5320855614973262,748
2021-04-30,1397.82,1399.05,-0.26,0.49233128834355827,652
2021-04-29,1401.52,1390.92,1.13,0.5483870967741935,713
2021-04-28,1385.91,1391.47,-0.44,0.5048543689320388,824
2021-04-27,1392.0,1381.73,1.31,0.5497311827956989,744
2021-04-26,1374.0,1343.85,2.14,0.5442655935613682,994
2021-04-22,1345.15,1320.16,1.1,0.45950413223140496,1210
2021-04-21,1330.48,1363.87,-2.55,0.441141498216409,2523
2021-04-20,1365.27,1376.37,-0.87,0.4118457300275482,1452
2021-04-19,1377.23,1409.85,-2.2,0.40587768069896746,1259
2021-04-16,1408.14,1405.5,0.03,0.4962518740629685,667
2021-04-15,1407.76,1409.76,-0.1,0.4618138424821002,838
2021-04-14,1409.19,1380.71,2.24,0.5372960372960373,858
2021-04-13,1378.37,1380.11,0.18,0.4565972222222222,1152
2021-04-12,1375.91,1393.47,-1.24,0.47452830188679246,1060
2021-04-09,1393.24,1413.18,-1.65,0.46275395033860045,1329
2021-04-08,1416.55,1422.22,-0.09,0.5111989459815547,759
2021-04-07,1417.89,1420.94,-0.19,0.499063670411985,1068
2021-04-06,1420.59,1442.88,-1.49,0.4749290444654683,1057
2021-04-05,1442.06,1428.99,0.83,0.5774111675126904,788
2021-04-02,1430.19,1434.91,0.25,0.5569007263922519,826
2021-04-01,1426.56,1399.34,2.5,0.5370548604427334,1039
2021-03-31,1391.73,1397.47,-0.29,0.5770065075921909,922
2021-03-30,1395.79,1392.84,0.23,0.5144144144144144,1110
2021-03-29,1392.57,1385.74,0.75,0.5755693581780539,966
2021-03-26,1382.15,1409.2,-0.88,0.4916593503072871,1139
2021-03-25,1394.36,1416.99,-1.38,0.494140625,1024
2021-03-24,1413.86,1377.37,2.64,0.5238095238095238,1260
2021-03-23,1377.43,1335.76,-0.13,0.477632675743262,3599
2021-03-22,1379.25,1491.99,-9.79,0.450243028907649,3909
2021-03-19,1528.99,1548.53,-1.41,0.49416342412451364,1799
2021-03-18,1550.93,1567.79,-0.72,0.49213011542497376,953
2021-03-17,1562.11,1574.78,-0.53,0.5247813411078717,1029
2021-03-16,1570.42,1561.41,0.96,0.5338983050847458,826
2021-03-15,1555.47,1558.78,-0.12,0.5619930475086906,863
2021-03-12,1557.39,1558.33,0.06,0.5287817938420348,747
2021-03-11,1556.49,1574.58,-0.54,0.5099403578528827,1006
2021-03-10,1564.94,1551.3,1.02,0.588957055214724,815
2021-03-09,1549.15,1542.04,1.23,0.5656441717791411,815
2021-03-08,1530.27,1549.62,-0.76,0.5488069414316703,922
2021-03-05,1541.98,1534.4,0.26,0.5701179554390564,763
2021-03-04,1538.04,1527.07,0.46,0.517814726840855,842
2021-03-03,1531.05,1538.8,0.15,0.5069222577209798,939
2021-03-02,1528.82,1526.36,0.09,0.5271238485158649,977
2021-03-01,1527.45,1491.88,3.81,0.5619573796369376,1267
2021-02-26,1471.39,1457.18,-1.13,0.4890566037735849,1325
2021-02-25,1488.21,1510.32,0.35,0.46985334057577405,1841
2021-02-24,1483.02,1506.53,-2.3,0.4821150855365474,1929
2021-02-23,1517.86,1558.03,-2.11,0.4577714691270405,1409
2021-02-22,1550.61,1563.08,-0.62,0.5027085590465872,923
2021-02-19,1560.34,1551.54,0.9,0.5639187574671446,837
2021-02-18,1546.41,1548.04,0.38,0.5215605749486653,974
2021-02-17,1540.59,1550.49,-0.14,0.5231660231660231,1036
2021-02-16,1542.82,1569.12,-1.26,0.5374692874692875,1628
2021-02-15,1562.49,1551.12,1.56,0.5686900958466453,939
2021-02-12,1538.44,1542.5,-0.46,0.5243101182654402,761
2021-02-11,1545.59,1548.69,-0.1,0.5103448275862069,870
2021-02-10,1547.11,1553.41,0.2,0.5706666666666667,750
2021-02-09,1544.05,1538.53,0.6,0.5424588086185045,789
2021-02-08,1534.91,1540.22,0.51,0.56601607347876,871
2021-02-05,1527.17,1544.79,-0.5,0.5166908563134979,689
2021-02-04,1534.9,1537.65,0.09,0.5755813953488372,860
2021-02-03,1533.55,1520.7,1.46,0.5654345654345654,1001
2021-02-02,1511.43,1505.09,1.27,0.5217821782178218,1010
2021-02-01,1492.45,1484.86,1.29,0.5381565906838454,1009
2021-01-29,1473.45,1485.21,-1.66,0.5236514522821577,1205
2021-01-28,1498.32,1453.37,2.13,0.4967948717948718,2184
2021-01-27,1467.0,1536.13,-4.5,0.5392646391284612,4406
2021-01-26,1536.11,1538.03,-0.27,0.5052531041069723,1047
2021-01-25,1540.21,1556.57,-0.15,0.5846585594013096,1069
2021-01-22,1542.45,1551.47,-0.59,0.46750524109014674,954
2021-01-21,1551.57,1578.03,-1.13,0.5348360655737705,976
2021-01-20,1569.35,1573.37,0.28,0.5570680628272251,955
2021-01-19,1565.01,1569.56,0.53,0.5336374002280502,877
2021-01-18,1556.77,1525.45,2.12,0.5677361853832442,1122
2021-01-15,1524.49,1536.82,-1.43,0.49648946840521563,997
2021-01-14,1546.6,1567.11,-0.81,0.509926854754441,957
2021-01-13,1559.28,1559.77,0.63,0.5432242990654206,856
2021-01-12,1549.53,1549.04,0.87,0.5628815628815629,819
2021-01-11,1536.19,1539.96,-0.29,0.5263157894736842,1045
2021-01-08,1540.61,1526.51,1.21,0.5623342175066313,754
2021-01-07,1522.24,1511.6,1.12,0.5358490566037736,795
2021-01-06,1505.42,1501.61,1.06,0.5574712643678161,870
2021-01-05,1489.56,1492.19,-0.39,0.5436681222707423,916
2021-01-04,1495.43,1482.17,1.27,0.5985748218527316,842
